"Var1","Var2","Freq"
"Meat, Total","area_harvested",0
"Melonseed","area_harvested",1904
"Milk, Total","area_harvested",0
"Millet","area_harvested",6519
"Mixed grain","area_harvested",2286
"Molasses","area_harvested",0
"Mules and hinnies","area_harvested",0
"Mushrooms and truffles","area_harvested",500
"Mustard seed","area_harvested",2640
"Natural honey","area_harvested",0
"Natural rubber in primary forms","area_harvested",2718
"Nutmeg, mace, cardamoms, raw","area_harvested",1892
"Oats","area_harvested",5712
"Oil of linseed","area_harvested",0
"Oil of maize","area_harvested",0
"Oil of palm kernel","area_harvested",0
"Oil of sesame seed","area_harvested",0
"Oil palm fruit","area_harvested",3628
"Oilcrops, Cake Equivalent","area_harvested",6714
"Oilcrops, Oil Equivalent","area_harvested",6788
"Okra","area_harvested",3196
"Olive oil","area_harvested",0
"Olives","area_harvested",3420
"Onions and shallots, dry (excluding dehydrated)","area_harvested",9416
"Onions and shallots, green","area_harvested",4837
"Oranges","area_harvested",8250
"Other beans, green","area_harvested",7194
"Other berries and fruits of the genus vaccinium n.e.c.","area_harvested",4066
"Other camelids","area_harvested",0
"Other citrus fruit, n.e.c.","area_harvested",5181
"Other fibre crops, raw, n.e.c.","area_harvested",2505
"Other fruits, n.e.c.","area_harvested",9672
"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen","area_harvested",0
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","area_harvested",4891
"Other oil seeds, n.e.c.","area_harvested",4287
"Other pome fruits","area_harvested",318
"Other pulses n.e.c.","area_harvested",8120
"Other rodents","area_harvested",0
"Other stimulant, spice and aromatic crops, n.e.c.","area_harvested",4667
"Other stone fruits","area_harvested",2771
"Other sugar crops n.e.c.","area_harvested",641
"Other tropical fruits, n.e.c.","area_harvested",5281
"Other vegetables, fresh n.e.c.","area_harvested",13024
"Palm kernels","area_harvested",0
"Palm oil","area_harvested",0
"Papayas","area_harvested",4616
"Peaches and nectarines","area_harvested",5402
"Pears","area_harvested",5767
"Peas, dry","area_harvested",6804
"Peas, green","area_harvested",5992
"Pepper (Piper spp.), raw","area_harvested",3383
"Peppermint, spearmint","area_harvested",962
"Persimmons","area_harvested",1695
"Pig fat, rendered","area_harvested",0
"Pigeon peas, dry","area_harvested",2293
"Pineapples","area_harvested",6414
"Pistachios, in shell","area_harvested",1853
"Plantains and cooking bananas","area_harvested",4199
"Plums and sloes","area_harvested",5681
"Pomelos and grapefruits","area_harvested",5877
"Poppy seed","area_harvested",1372
"Potatoes","area_harvested",10631
"Poultry Birds","area_harvested",0
"Pulses, Total","area_harvested",11618
"Pumpkins, squash and gourds","area_harvested",7580
"Pyrethrum, dried flowers","area_harvested",1320
"Quinces","area_harvested",3642
"Quinoa","area_harvested",505
"Rabbits and hares","area_harvested",0
"Ramie, raw or retted","area_harvested",1038
"Rape or colza seed","area_harvested",4621
"Rapeseed or canola oil, crude","area_harvested",0
"Raspberries","area_harvested",2843
"Raw cane or beet sugar (centrifugal only)","area_harvested",0
"Raw hides and skins of buffaloes","area_harvested",0
"Raw hides and skins of cattle","area_harvested",0
"Raw hides and skins of goats or kids","area_harvested",0
"Raw hides and skins of sheep or lambs","area_harvested",0
"Raw milk of buffalo","area_harvested",0
"Raw milk of camel","area_harvested",0
"Raw milk of cattle","area_harvested",0
"Raw milk of goats","area_harvested",0
"Raw milk of sheep","area_harvested",0
"Raw silk (not thrown)","area_harvested",0
"Rice","area_harvested",9210
"Roots and Tubers, Total","area_harvested",13248
"Rye","area_harvested",4601
"Safflower-seed oil, crude","area_harvested",0
"Safflower seed","area_harvested",2387
"Seed cotton, unginned","area_harvested",7498
"Sesame seed","area_harvested",5804
"Sheep","area_harvested",0
"Sheep and Goat Meat","area_harvested",0
"Sheep and Goats","area_harvested",0
"Sheep fat, unrendered","area_harvested",0
"Shorn wool, greasy, including fleece-washed shorn wool","area_harvested",0
"Silk-worm cocoons suitable for reeling","area_harvested",0
"Sisal, raw","area_harvested",2728
"Skim Milk & Buttermilk, Dry","area_harvested",0
"Skim milk and whey powder","area_harvested",0
"Skim milk of cows","area_harvested",0
"Skim milk, condensed","area_harvested",0
"Skim milk, evaporated","area_harvested",0
"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails","area_harvested",0
"Sorghum","area_harvested",8326
"Sour cherries","area_harvested",2207
"Soya bean oil","area_harvested",0
"Soya beans","area_harvested",6811
"Spinach","area_harvested",4785
"Strawberries","area_harvested",4882
"String beans","area_harvested",2144
"Sugar beet","area_harvested",4676
"Sugar cane","area_harvested",8052
"Sugar Crops Primary","area_harvested",10197
"Sunflower-seed oil, crude","area_harvested",0
"Sunflower seed","area_harvested",5433
"Sweet potatoes","area_harvested",8606
"Swine / pigs","area_harvested",0
"Tallow","area_harvested",0
"Tallowtree seeds","area_harvested",185
"Tangerines, mandarins, clementines","area_harvested",5430
"Taro","area_harvested",4471
"Tea leaves","area_harvested",4202
"Tomatoes","area_harvested",11066
"Treenuts, Total","area_harvested",6947
"Triticale","area_harvested",2175
"True hemp, raw or retted","area_harvested",2218
"Tung nuts","area_harvested",994
"Turkeys","area_harvested",0
"Unmanufactured tobacco","area_harvested",9627
"Vanilla, raw","area_harvested",1863
"Vegetables Primary","area_harvested",13294
"Vetches","area_harvested",3124
"Walnuts, in shell","area_harvested",3540
"Watermelons","area_harvested",7669
"Wheat","area_harvested",8692
"Whey, condensed","area_harvested",0
"Whey, dry","area_harvested",0
"Whole milk powder","area_harvested",0
"Whole milk, condensed","area_harvested",0
"Whole milk, evaporated","area_harvested",0
"Wine","area_harvested",0
"Yams","area_harvested",4732
"Yautia","area_harvested",1155
"Yoghurt","area_harvested",0
"Abaca, manila hemp, raw","laying",0
"Agave fibres, raw, n.e.c.","laying",0
"Almonds, in shell","laying",0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","laying",0
"Apples","laying",0
"Apricots","laying",0
"Areca nuts","laying",0
"Artichokes","laying",0
"Asparagus","laying",0
"Asses","laying",0
"Avocados","laying",0
"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","laying",0
"Bambara beans, dry","laying",0
"Bananas","laying",0
"Barley","laying",0
"Beans, dry","laying",0
"Beef and Buffalo Meat, primary","laying",0
"Beer of barley, malted","laying",0
"Bees","laying",0
"Beeswax","laying",0
"Blueberries","laying",0
"Brazil nuts, in shell","laying",0
"Broad beans and horse beans, dry","laying",0
"Broad beans and horse beans, green","laying",0
"Buckwheat","laying",0
"Buffalo","laying",0
"Buffalo fat, unrendered","laying",0
"Butter and Ghee","laying",0
"Butter and ghee of sheep milk","laying",0
"Butter of buffalo milk","laying",0
"Butter of cow milk","laying",0
"Butter of goat milk","laying",0
"Buttermilk, dry","laying",0
"Cabbages","laying",0
"Camels","laying",0
"Canary seed","laying",0
"Cantaloupes and other melons","laying",0
"Carrots and turnips","laying",0
"Cashew nuts, in shell","laying",0
"Cashewapple","laying",0
"Cassava leaves","laying",0
"Cassava, fresh","laying",0
"Castor oil seeds","laying",0
"Cattle","laying",0
"Cattle and Buffaloes","laying",0
"Cattle fat, unrendered","laying",0
"Cauliflowers and broccoli","laying",0
"Cereals n.e.c.","laying",0
"Cereals, primary","laying",0
"Cheese (All Kinds)","laying",0
"Cheese from milk of buffalo, fresh or processed","laying",0
"Cheese from milk of goats, fresh or processed","laying",0
"Cheese from milk of sheep, fresh or processed","laying",0
"Cheese from skimmed cow milk","laying",0
"Cheese from whole cow milk","laying",0
"Cherries","laying",0
"Chestnuts, in shell","laying",0
"Chick peas, dry","laying",0
"Chickens","laying",0
"Chicory roots","laying",0
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","laying",0
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","laying",0
"Cinnamon and cinnamon-tree flowers, raw","laying",0
"Citrus Fruit, Total","laying",0
"Cloves (whole stems), raw","laying",0
"Cocoa beans","laying",0
"Coconut oil","laying",0
"Coconuts, in shell","laying",0
"Coffee, green","laying",0
"Coir, raw","laying",0
"Cotton lint, ginned","laying",0
"Cotton seed","laying",0
"Cottonseed oil","laying",0
"Cow peas, dry","laying",0
"Cranberries","laying",0
"Cream, fresh","laying",0
"Cucumbers and gherkins","laying",0
"Currants","laying",0
"Dates","laying",0
"Ducks","laying",0
"Edible offal of buffalo, fresh, chilled or frozen","laying",0
"Edible offal of cattle, fresh, chilled or frozen","laying",0
"Edible offal of goat, fresh, chilled or frozen","laying",0
"Edible offal of pigs, fresh, chilled or frozen","laying",0
"Edible offal of sheep, fresh, chilled or frozen","laying",0
"Edible offals of camels and other camelids, fresh, chilled or frozen","laying",0
"Edible offals of horses and other equines,  fresh, chilled or frozen","laying",0
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","laying",0
"Eggplants (aubergines)","laying",0
"Eggs from other birds in shell, fresh, n.e.c.","laying",3183
"Eggs Primary","laying",13168
"Evaporated & Condensed Milk","laying",0
"Fat of camels","laying",0
"Fat of pigs","laying",0
"Fibre Crops, Fibre Equivalent","laying",0
"Figs","laying",0
"Flax, processed but not spun","laying",0
"Fonio","laying",0
"Fruit Primary","laying",0
"Game meat, fresh, chilled or frozen","laying",0
"Geese","laying",0
"Ghee from buffalo milk","laying",0
"Ghee from cow milk","laying",0
"Ginger, raw","laying",0
"Goat fat, unrendered","laying",0
"Goats","laying",0
"Gooseberries","laying",0
"Grapes","laying",0
"Green corn (maize)","laying",0
"Green garlic","laying",0
"Green tea (not fermented), black tea (fermented) and partly fermented tea","laying",0
"Groundnut oil","laying",0
"Groundnuts, excluding shelled","laying",0
"Hazelnuts, in shell","laying",0
"Hempseed","laying",0
"Hen eggs in shell, fresh","laying",13180
"Hop cones","laying",0
"Horse meat, fresh or chilled","laying",0
"Horses","laying",0
"Jojoba seeds","laying",0
"Jute, raw or retted","laying",0
"Kapok fibre, raw","laying",0
"Kapok fruit","laying",0
"Kapokseed in shell","laying",0
"Karite nuts (sheanuts)","laying",0
"Kenaf, and other textile bast fibres, raw or retted","laying",0
"Kiwi fruit","laying",0
"Kola nuts","laying",0
"Leeks and other alliaceous vegetables","laying",0
"Lemons and limes","laying",0
"Lentils, dry","laying",0
"Lettuce and chicory","laying",0
"Linseed","laying",0
"Locust beans (carobs)","laying",0
"Lupins","laying",0
"Maize (corn)","laying",0
"Mangoes, guavas and mangosteens","laying",0
"Margarine and shortening","laying",0
"Maté leaves","laying",0
"Meat of asses, fresh or chilled","laying",0
"Meat of buffalo, fresh or chilled","laying",0
"Meat of camels, fresh or chilled","laying",0
"Meat of cattle with the bone, fresh or chilled","laying",0
"Meat of chickens, fresh or chilled","laying",0
"Meat of ducks, fresh or chilled","laying",0
"Meat of geese, fresh or chilled","laying",0
"Meat of goat, fresh or chilled","laying",0
"Meat of mules, fresh or chilled","laying",0
"Meat of other domestic camelids, fresh or chilled","laying",0
"Meat of other domestic rodents, fresh or chilled","laying",0
"Meat of pig with the bone, fresh or chilled","laying",0
"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen","laying",0
"Meat of rabbits and hares, fresh or chilled","laying",0
"Meat of sheep, fresh or chilled","laying",0
"Meat of turkeys, fresh or chilled","laying",0
"Meat, Poultry","laying",0
"Meat, Total","laying",0
"Melonseed","laying",0
"Milk, Total","laying",0
"Millet","laying",0
"Mixed grain","laying",0
"Molasses","laying",0
"Mules and hinnies","laying",0
"Mushrooms and truffles","laying",0
"Mustard seed","laying",0
"Natural honey","laying",0
"Natural rubber in primary forms","laying",0
"Nutmeg, mace, cardamoms, raw","laying",0
"Oats","laying",0
"Oil of linseed","laying",0
"Oil of maize","laying",0
"Oil of palm kernel","laying",0
"Oil of sesame seed","laying",0
"Oil palm fruit","laying",0
"Oilcrops, Cake Equivalent","laying",0
"Oilcrops, Oil Equivalent","laying",0
"Okra","laying",0
"Olive oil","laying",0
"Olives","laying",0
"Onions and shallots, dry (excluding dehydrated)","laying",0
"Onions and shallots, green","laying",0
"Oranges","laying",0
"Other beans, green","laying",0
"Other berries and fruits of the genus vaccinium n.e.c.","laying",0
"Other camelids","laying",0
"Other citrus fruit, n.e.c.","laying",0
"Other fibre crops, raw, n.e.c.","laying",0
"Other fruits, n.e.c.","laying",0
"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen","laying",0
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","laying",0
"Other oil seeds, n.e.c.","laying",0
"Other pome fruits","laying",0
"Other pulses n.e.c.","laying",0
"Other rodents","laying",0
"Other stimulant, spice and aromatic crops, n.e.c.","laying",0
"Other stone fruits","laying",0
"Other sugar crops n.e.c.","laying",0
"Other tropical fruits, n.e.c.","laying",0
"Other vegetables, fresh n.e.c.","laying",0
"Palm kernels","laying",0
"Palm oil","laying",0
"Papayas","laying",0
"Peaches and nectarines","laying",0
"Pears","laying",0
"Peas, dry","laying",0
"Peas, green","laying",0
"Pepper (Piper spp.), raw","laying",0
"Peppermint, spearmint","laying",0
"Persimmons","laying",0
"Pig fat, rendered","laying",0
"Pigeon peas, dry","laying",0
"Pineapples","laying",0
"Pistachios, in shell","laying",0
"Plantains and cooking bananas","laying",0
"Plums and sloes","laying",0
"Pomelos and grapefruits","laying",0
"Poppy seed","laying",0
"Potatoes","laying",0
"Poultry Birds","laying",0
"Pulses, Total","laying",0
"Pumpkins, squash and gourds","laying",0
"Pyrethrum, dried flowers","laying",0
"Quinces","laying",0
"Quinoa","laying",0
"Rabbits and hares","laying",0
"Ramie, raw or retted","laying",0
"Rape or colza seed","laying",0
"Rapeseed or canola oil, crude","laying",0
"Raspberries","laying",0
"Raw cane or beet sugar (centrifugal only)","laying",0
"Raw hides and skins of buffaloes","laying",0
"Raw hides and skins of cattle","laying",0
"Raw hides and skins of goats or kids","laying",0
"Raw hides and skins of sheep or lambs","laying",0
"Raw milk of buffalo","laying",0
"Raw milk of camel","laying",0
"Raw milk of cattle","laying",0
"Raw milk of goats","laying",0
"Raw milk of sheep","laying",0
"Raw silk (not thrown)","laying",0
"Rice","laying",0
"Roots and Tubers, Total","laying",0
"Rye","laying",0
"Safflower-seed oil, crude","laying",0
"Safflower seed","laying",0
"Seed cotton, unginned","laying",0
"Sesame seed","laying",0
"Sheep","laying",0
"Sheep and Goat Meat","laying",0
"Sheep and Goats","laying",0
"Sheep fat, unrendered","laying",0
"Shorn wool, greasy, including fleece-washed shorn wool","laying",0
"Silk-worm cocoons suitable for reeling","laying",0
"Sisal, raw","laying",0
"Skim Milk & Buttermilk, Dry","laying",0
"Skim milk and whey powder","laying",0
"Skim milk of cows","laying",0
"Skim milk, condensed","laying",0
"Skim milk, evaporated","laying",0
"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails","laying",0
"Sorghum","laying",0
"Sour cherries","laying",0
"Soya bean oil","laying",0
"Soya beans","laying",0
"Spinach","laying",0
"Strawberries","laying",0
"String beans","laying",0
"Sugar beet","laying",0
"Sugar cane","laying",0
"Sugar Crops Primary","laying",0
"Sunflower-seed oil, crude","laying",0
"Sunflower seed","laying",0
"Sweet potatoes","laying",0
"Swine / pigs","laying",0
"Tallow","laying",0
"Tallowtree seeds","laying",0
"Tangerines, mandarins, clementines","laying",0
"Taro","laying",0
"Tea leaves","laying",0
"Tomatoes","laying",0
"Treenuts, Total","laying",0
"Triticale","laying",0
"True hemp, raw or retted","laying",0
"Tung nuts","laying",0
"Turkeys","laying",0
"Unmanufactured tobacco","laying",0
"Vanilla, raw","laying",0
"Vegetables Primary","laying",0
"Vetches","laying",0
"Walnuts, in shell","laying",0
"Watermelons","laying",0
"Wheat","laying",0
"Whey, condensed","laying",0
"Whey, dry","laying",0
"Whole milk powder","laying",0
"Whole milk, condensed","laying",0
"Whole milk, evaporated","laying",0
"Wine","laying",0
"Yams","laying",0
"Yautia","laying",0
"Yoghurt","laying",0
"Abaca, manila hemp, raw","milk_animals",0
"Agave fibres, raw, n.e.c.","milk_animals",0
"Almonds, in shell","milk_animals",0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","milk_animals",0
"Apples","milk_animals",0
"Apricots","milk_animals",0
"Areca nuts","milk_animals",0
"Artichokes","milk_animals",0
"Asparagus","milk_animals",0
"Asses","milk_animals",0
"Avocados","milk_animals",0
"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","milk_animals",0
"Bambara beans, dry","milk_animals",0
"Bananas","milk_animals",0
"Barley","milk_animals",0
"Beans, dry","milk_animals",0
"Beef and Buffalo Meat, primary","milk_animals",0
"Beer of barley, malted","milk_animals",0
"Bees","milk_animals",0
"Beeswax","milk_animals",0
"Blueberries","milk_animals",0
"Brazil nuts, in shell","milk_animals",0
"Broad beans and horse beans, dry","milk_animals",0
"Broad beans and horse beans, green","milk_animals",0
"Buckwheat","milk_animals",0
"Buffalo","milk_animals",0
"Buffalo fat, unrendered","milk_animals",0
"Butter and Ghee","milk_animals",0
"Butter and ghee of sheep milk","milk_animals",0
"Butter of buffalo milk","milk_animals",0
"Butter of cow milk","milk_animals",0
"Butter of goat milk","milk_animals",0
"Buttermilk, dry","milk_animals",0
"Cabbages","milk_animals",0
"Camels","milk_animals",0
"Canary seed","milk_animals",0
"Cantaloupes and other melons","milk_animals",0
"Carrots and turnips","milk_animals",0
"Cashew nuts, in shell","milk_animals",0
"Cashewapple","milk_animals",0
"Cassava leaves","milk_animals",0
"Cassava, fresh","milk_animals",0
"Castor oil seeds","milk_animals",0
"Cattle","milk_animals",0
"Cattle and Buffaloes","milk_animals",0
"Cattle fat, unrendered","milk_animals",0
"Cauliflowers and broccoli","milk_animals",0
"Cereals n.e.c.","milk_animals",0
"Cereals, primary","milk_animals",0
"Cheese (All Kinds)","milk_animals",0
"Cheese from milk of buffalo, fresh or processed","milk_animals",0
"Cheese from milk of goats, fresh or processed","milk_animals",0
"Cheese from milk of sheep, fresh or processed","milk_animals",0
"Cheese from skimmed cow milk","milk_animals",0
"Cheese from whole cow milk","milk_animals",0
"Cherries","milk_animals",0
"Chestnuts, in shell","milk_animals",0
"Chick peas, dry","milk_animals",0
"Chickens","milk_animals",0
"Chicory roots","milk_animals",0
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","milk_animals",0
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","milk_animals",0
"Cinnamon and cinnamon-tree flowers, raw","milk_animals",0
"Citrus Fruit, Total","milk_animals",0
"Cloves (whole stems), raw","milk_animals",0
"Cocoa beans","milk_animals",0
"Coconut oil","milk_animals",0
"Coconuts, in shell","milk_animals",0
"Coffee, green","milk_animals",0
"Coir, raw","milk_animals",0
"Cotton lint, ginned","milk_animals",0
"Cotton seed","milk_animals",0
"Cottonseed oil","milk_animals",0
"Cow peas, dry","milk_animals",0
"Cranberries","milk_animals",0
"Cream, fresh","milk_animals",0
"Cucumbers and gherkins","milk_animals",0
"Currants","milk_animals",0
"Dates","milk_animals",0
"Ducks","milk_animals",0
"Edible offal of buffalo, fresh, chilled or frozen","milk_animals",0
"Edible offal of cattle, fresh, chilled or frozen","milk_animals",0
"Edible offal of goat, fresh, chilled or frozen","milk_animals",0
"Edible offal of pigs, fresh, chilled or frozen","milk_animals",0
"Edible offal of sheep, fresh, chilled or frozen","milk_animals",0
"Edible offals of camels and other camelids, fresh, chilled or frozen","milk_animals",0
"Edible offals of horses and other equines,  fresh, chilled or frozen","milk_animals",0
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","milk_animals",0
"Eggplants (aubergines)","milk_animals",0
"Eggs from other birds in shell, fresh, n.e.c.","milk_animals",0
"Eggs Primary","milk_animals",0
"Evaporated & Condensed Milk","milk_animals",0
"Fat of camels","milk_animals",0
"Fat of pigs","milk_animals",0
"Fibre Crops, Fibre Equivalent","milk_animals",0
"Figs","milk_animals",0
"Flax, processed but not spun","milk_animals",0
"Fonio","milk_animals",0
"Fruit Primary","milk_animals",0
"Game meat, fresh, chilled or frozen","milk_animals",0
"Geese","milk_animals",0
"Ghee from buffalo milk","milk_animals",0
"Ghee from cow milk","milk_animals",0
"Ginger, raw","milk_animals",0
"Goat fat, unrendered","milk_animals",0
"Goats","milk_animals",0
"Gooseberries","milk_animals",0
"Grapes","milk_animals",0
"Green corn (maize)","milk_animals",0
"Green garlic","milk_animals",0
"Green tea (not fermented), black tea (fermented) and partly fermented tea","milk_animals",0
"Groundnut oil","milk_animals",0
"Groundnuts, excluding shelled","milk_animals",0
"Hazelnuts, in shell","milk_animals",0
"Hempseed","milk_animals",0
"Hen eggs in shell, fresh","milk_animals",0
"Hop cones","milk_animals",0
"Horse meat, fresh or chilled","milk_animals",0
"Horses","milk_animals",0
"Jojoba seeds","milk_animals",0
"Jute, raw or retted","milk_animals",0
"Kapok fibre, raw","milk_animals",0
"Kapok fruit","milk_animals",0
"Kapokseed in shell","milk_animals",0
"Karite nuts (sheanuts)","milk_animals",0
"Kenaf, and other textile bast fibres, raw or retted","milk_animals",0
"Kiwi fruit","milk_animals",0
"Kola nuts","milk_animals",0
"Leeks and other alliaceous vegetables","milk_animals",0
"Lemons and limes","milk_animals",0
"Lentils, dry","milk_animals",0
"Lettuce and chicory","milk_animals",0
"Linseed","milk_animals",0
